location,analytical,central,upstream
0.00,1.00000,1.00009,1.00000
0.05,1.00000,1.00567,0.99972
0.10,1.00000,0.99600,0.99851
0.16,1.00000,0.97163,0.99466
0.21,0.99999,0.98537,0.98491
0.26,0.99982,1.05368,0.96423
0.31,0.99781,1.10753,0.92661
0.36,0.98361,1.06025,0.86686
0.42,0.92247,0.89150,0.78299
0.47,0.76120,0.65375,0.67783
0.52,0.49973,0.42034,0.55909
0.57,0.23858,0.23913,0.43748
0.62,0.07773,0.12151,0.32381
0.68,0.01659,0.05563,0.22632
0.73,0.00227,0.02312,0.14924
0.78,0.00019,0.00878,0.09284
0.83,0.00001,0.00306,0.05450
0.89,0.00000,0.00099,0.03021
0.94,0.00000,0.00030,0.01583
0.99,0.00000,0.00008,0.00784
1.04,0.00000,0.00002,0.00368
1.09,0.00000,0.00001,0.00164
1.15,0.00000,0.00000,0.00069
1.20,0.00000,0.00000,0.00028
1.25,0.00000,0.00000,0.00010
